net,length_um
s_rdata[71],24.6µm
s_araddr[112],24.575µm
m_rdata[18],24.515µm
net823,24.505µm
net63,24.49µm
net598,24.49µm
s_awprot[10],24.465µm
net424,24.42µm
net793,24.385µm
net54,24.37µm
s_awaddr[82],24.37µm
s_wdata[44],24.36µm
net225,24.355µm
net310,24.3µm
net183,24.3µm
s_awaddr[52],24.3µm
s_wdata[99],24.3µm
net133,24.295µm
s_rdata[60],24.285µm
net198,24.25µm
m_arprot[2],24.155µm
s_araddr[94],24.155µm
net178,24.12µm
s_rdata[37],24.095µm
s_rdata[5],24.095µm
_0196_,23.96µm
_0038_,23.89µm
m_araddr[27],23.82µm
s_araddr[73],23.795µm
net623,23.78µm
net341,23.76µm
net53,23.76µm
s_araddr[119],23.76µm
s_araddr[21],23.76µm
s_araddr[52],23.76µm
m_awprot[2],23.7µm
s_araddr[20],23.7µm
s_arprot[4],23.7µm
s_awaddr[2],23.7µm
s_awprot[11],23.7µm
s_awprot[5],23.7µm
s_wdata[13],23.7µm
m_wdata[15],23.675µm
s_rdata[123],23.675µm
s_wdata[102],23.65µm
s_rdata[11],23.64µm
net25,23.625µm
net432,23.49µm
net179,23.46µm
net615,23.41µm
net366,23.36µm
s_arprot[7],23.34µm
net679,23.3µm
net593,23.28µm
s_rdata[115],23.22µm
m_araddr[11],23.195µm
m_wdata[5],23.195µm
m_wstrb[2],23.195µm
s_araddr[49],23.195µm
s_araddr[84],23.17µm
net147,23.16µm
m_rdata[12],23.135µm
s_rdata[28],23.075µm
net9,23.06µm
m_arready,22.955µm
net690,22.93µm
net561,22.92µm
net800,22.82µm
m_rdata[14],22.8µm
s_wdata[62],22.8µm
net91,22.78µm
net136,22.74µm
s_bresp[1],22.74µm
net810,22.71µm
net80,22.68µm
s_rdata[40],22.68µm
_0121_,22.56µm
net686,22.56µm
s_araddr[5],22.44µm
s_awaddr[22],22.44µm
net315,22.435µm
net364,22.33µm
net199,22.33µm
_0314_,22.32µm
net137,22.32µm
s_rdata[61],22.235µm
s_araddr[60],22.23µm
net789,22.175µm
m_araddr[8],22.125µm
m_wdata[1],22.125µm
s_rdata[72],22.09µm
net304,22.08µm
s_wdata[105],22.055µm
net161,22.03µm
m_araddr[29],21.995µm
net66,21.97µm
_0156_,21.9µm
_0265_,21.9µm
net460,21.9µm
s_wstrb[12],21.885µm
s_rdata[104],21.72µm
s_rdata[49],21.72µm
s_rdata[81],21.72µm
s_wdata[12],21.72µm
m_araddr[7],21.67µm
net83,21.67µm
net275,21.66µm
s_wdata[108],21.66µm
m_wdata[23],21.645µm
s_rdata[122],21.635µm
s_rdata[54],21.635µm
s_wdata[60],21.585µm
s_awaddr[21],21.55µm
net177,21.54µm
net573,21.54µm
net495,21.53µm
net338,21.42µm
net124,21.38µm
_0076_,21.37µm
net248,21.37µm
net52,21.36µm
net128,21.36µm
net457,21.31µm
m_awaddr[9],21.165µm
s_rdata[24],21.155µm
m_awaddr[8],21.12µm
net233,21.06µm
s_rdata[124],21.035µm
net474,21.01µm
_0332_,21µm
s_awaddr[120],21µm
net422,20.985µm
s_wdata[49],20.985µm
s_wdata[78],20.975µm
net252,20.95µm
net458,20.95µm
net265,20.94µm
s_arprot[1],20.88µm
s_wdata[3],20.88µm
s_awaddr[25],20.865µm
net232,20.83µm
m_awaddr[1],20.82µm
m_awready,20.82µm
m_awaddr[3],20.795µm
net278,20.72µm
net24,20.71µm
s_wdata[63],20.71µm
s_awready[0],20.7µm
s_awaddr[125],20.7µm
m_wdata[0],20.64µm
s_awaddr[19],20.64µm
s_awaddr[27],20.64µm
s_awaddr[91],20.64µm
net345,20.58µm
net170,20.58µm
s_araddr[62],20.565µm
s_awaddr[15],20.47µm
s_rdata[53],20.46µm
s_bready[1],20.46µm
s_rready[0],20.435µm
net101,20.41µm
net205,20.41µm
_0138_,20.365µm
m_arprot[1],20.34µm
m_awaddr[16],20.34µm
m_wdata[29],20.315µm
m_wdata[4],20.315µm
s_rdata[27],20.315µm
s_rdata[36],20.315µm
net203,20.29µm
s_awaddr[31],20.23µm
net511,20.22µm
net122,20.22µm
s_awready[1],20.22µm
s_bvalid[0],20.22µm
_0158_,20.19µm
s_awaddr[17],20.17µm
net376,20.145µm
net261,20.11µm
net510,20.1µm
s_awaddr[61],20.1µm
s_awaddr[81],20.1µm
m_arvalid,20.075µm
net523,20.04µm
net155,20.04µm
s_araddr[14],20.025µm
s_rready[2],20.015µm
net522,19.99µm
net306,19.98µm
net357,19.98µm
net411,19.98µm
s_awaddr[83],19.93µm
m_rdata[8],19.92µm
s_arprot[10],19.92µm
s_wdata[67],19.92µm
m_rdata[28],19.895µm
net111,19.89µm
