_0472_,7.24µm
_0244_,7.21µm
_0279_,7.21µm
_0112_,7.2µm
net247,7.2µm
net254,7.2µm
net261,7.2µm
boot_addr[14],7.2µm
_0293_,7.15µm
_0340_,7.15µm
_0457_,7.09µm
net161,7.09µm
net293,7.08µm
_0169_,7.03µm
_0465_,7.03µm
_0442_,6.96µm
_0373_,6.9µm
boot_wdata[2],6.865µm
boot_wdata[9],6.865µm
boot_wdata[21],6.815µm
boot_wdata[24],6.815µm
_0005_,6.78µm
_0160_,6.78µm
_0400_,6.78µm
_0335_,6.73µm
_0370_,6.73µm
boot_addr[15],6.73µm
boot_addr[20],6.73µm
net381,6.73µm
_0097_,6.72µm
_0258_,6.72µm
_0391_,6.72µm
net259,6.72µm
net301,6.72µm
_0031_,6.67µm
net361,6.67µm
_0038_,6.66µm
_0242_,6.66µm
_0269_,6.66µm
_0026_,6.6µm
_0414_,6.6µm
_0392_,6.595µm
_0305_,6.54µm
net368,6.5µm
_0406_,6.49µm
u_spi.tx_shift\[6\],6.42µm
boot_addr[25],6.405µm
boot_addr[29],6.405µm
spi_sclk,6.395µm
_0126_,6.36µm
_0050_,6.31µm
boot_addr[27],6.31µm
_0240_,6.3µm
_0427_,6.3µm
_0523_,6.25µm
u_spi.tx_shift\[0\],6.25µm
_0508_,6.19µm
net374,6.19µm
_0150_,6.18µm
_0328_,6.13µm
_0274_,6.12µm
_0399_,6.12µm
net209,6.12µm
net210,6.12µm
net212,6.12µm
net236,6.12µm
net242,6.12µm
_0074_,6.02µm
_0105_,6.02µm
_0235_,6.02µm
_0491_,6.02µm
net349,6.02µm
net354,6.02µm
_0199_,6.01µm
_0020_,5.94µm
_0439_,5.94µm
_0447_,5.94µm
_0421_,5.88µm
_0024_,5.83µm
_0057_,5.82µm
_0149_,5.82µm
_0287_,5.82µm
_0301_,5.82µm
_0234_,5.77µm
_0451_,5.76µm
_0484_,5.76µm
net167,5.76µm
net356,5.76µm
_0403_,5.7µm
_0467_,5.7µm
net371,5.68µm
net187,5.65µm
