net,length_um
gpio2_out[18],799.78µm
cpu_araddr\[28\],798.195µm
gpio2_dir[14],795.95µm
s_wdata\[90\],794.195µm
gpio2_dir[22],792.71µm
gpio2_out[25],790.54µm
s_wdata\[126\],790.29µm
s_rdata\[107\],788.24µm
s_araddr\[89\],787.89µm
s_rdata\[38\],787.465µm
s_rdata\[66\],786.21µm
s_rdata\[110\],785.35µm
s_awaddr\[76\],784.87µm
s_araddr\[120\],784.5µm
s_bready\[1\],783.71µm
s_araddr\[91\],783.69µm
s_araddr\[118\],783.31µm
gpio2_dir[26],783.11µm
gpio2_out[21],782.5µm
s_awaddr\[88\],781.99µm
gpio2_dir[31],781.19µm
s_awaddr\[86\],779.95µm
gpio2_dir[6],779.87µm
cpu_rdata\[13\],779.73µm
s_wdata\[64\],779.52µm
gpio2_dir[11],777.95µm
s_rdata\[76\],777.91µm
gpio2_dir[20],774.46µm
cpu_arprot\[1\],774.19µm
s_rdata\[42\],771.485µm
gpio2_out[13],770.52µm
s_araddr\[122\],770.1µm
s_awaddr\[101\],770.01µm
gpio2_dir[12],769.67µm
gpio2_out[3],768.58µm
s_rdata\[75\],768.57µm
gpio2_dir[15],767.14µm
s_araddr\[64\],764.845µm
cpu_rdata\[18\],763.975µm
s_awaddr\[91\],763.63µm
s_rdata\[104\],762.9µm
s_awaddr\[79\],762.31µm
s_rdata\[112\],762.19µm
s_rdata\[115\],761.36µm
s_awaddr\[87\],761.23µm
cpu_rdata\[21\],760.865µm
s_wdata\[70\],760.75µm
s_awaddr\[78\],760.43µm
gpio2_in[20],759.215µm
s_awaddr\[97\],758.97µm
gpio2_in[30],757.67µm
gpio2_out[26],757.06µm
gpio2_in[21],755.78µm
s_araddr\[121\],754.85µm
gpio2_out[11],753.95µm
s_araddr\[123\],752.45µm
gpio2_out[8],752.38µm
gpio2_dir[1],751.92µm
s_awready\[1\],751.43µm
gpio2_out[10],750.94µm
s_awaddr\[90\],749.59µm
cpu_rdata\[11\],748.89µm
gpio2_dir[7],746.86µm
gpio2_out[7],743.86µm
gpio2_in[27],743.805µm
s_wdata\[71\],743.795µm
gpio2_dir[23],743.74µm
gpio2_dir[30],743.46µm
gpio2_out[22],742.3µm
s_awaddr\[74\],741.875µm
s_rdata\[85\],741.655µm
s_wdata\[69\],739.955µm
cpu_araddr\[30\],739.255µm
s_araddr\[70\],739.17µm
gpio2_out[20],738.7µm
gpio2_dir[29],738.11µm
s_rdata\[98\],737.885µm
gpio2_dir[0],737.15µm
s_awaddr\[67\],736.82µm
gpio2_in[16],736.55µm
s_wstrb\[5\],736.205µm
s_araddr\[119\],735.9µm
gpio2_out[17],735.82µm
cpu_araddr\[29\],734.84µm
s_rdata\[45\],734.785µm
gpio2_in[17],733.435µm
gpio2_dir[16],731.98µm
gpio2_in[12],731.83µm
cpu_rst_n,730.04µm
s_araddr\[59\],729.385µm
s_wdata\[83\],728.435µm
s_wdata\[87\],728.435µm
s_wdata\[74\],726.915µm
s_araddr\[96\],726.42µm
s_rdata\[99\],725.71µm
s_rdata\[109\],725.645µm
s_wdata\[86\],725.435µm
gpio2_out[30],725.005µm
gpio2_dir[18],724.56µm
s_rdata\[49\],723.845µm
s_rdata\[69\],722.455µm
cpu_rdata\[7\],721.99µm
s_rdata\[77\],721.53µm
s_awvalid\[2\],720.43µm
s_rdata\[102\],719.795µm
gpio2_dir[27],719.76µm
gpio2_in[5],719.395µm
s_wdata\[91\],718.875µm
s_arready\[2\],718.27µm
gpio2_out[2],715.85µm
gpio2_in[1],714.66µm
gpio2_in[8],713.74µm
s_awaddr\[63\],711.59µm
s_awaddr\[81\],711.43µm
s_wstrb\[11\],711.155µm
gpio2_in[18],711.095µm
s_wdata\[99\],710.23µm
s_wstrb\[6\],709.275µm
cpu_rdata\[4\],706.995µm
s_wdata\[95\],705.49µm
s_wready\[1\],704.615µm
gpio2_out[9],703.455µm
clknet_0_clk_i,702.645µm
s_araddr\[43\],701.15µm
s_araddr\[35\],700.07µm
s_rdata\[64\],700µm
gpio2_dir[21],698.88µm
s_rdata\[113\],698.64µm
s_awready\[2\],698.35µm
s_rdata\[51\],697.77µm
s_awaddr\[83\],696.67µm
s_rdata\[34\],695.645µm
s_wdata\[98\],695.21µm
cpu_rready,694.515µm
s_awaddr\[82\],692.71µm
cpu_awaddr\[3\],692.675µm
s_rdata\[53\],692.61µm
s_awaddr\[50\],692.05µm
s_wdata\[52\],691.425µm
s_awaddr\[61\],690.59µm
s_wdata\[47\],689.035µm
gpio2_dir[10],687.11µm
s_bvalid\[1\],685.79µm
s_awaddr\[77\],684.67µm
s_araddr\[42\],684.35µm
