net,length_um
_056_,7.95µm
_293_,7.93µm
s_axil_bvalid,7.82µm
s_axil_rdata[16],7.82µm
s_axil_rdata[25],7.82µm
s_axil_rdata[7],7.82µm
s_axil_rvalid,7.82µm
_300_,7.8µm
_045_,7.75µm
_127_,7.74µm
sram_addr\[3\],7.69µm
_267_,7.68µm
net552,7.68µm
net565,7.68µm
_077_,7.63µm
_079_,7.63µm
_070_,7.62µm
s_axil_arvalid,7.62µm
s_axil_rready,7.62µm
_128_,7.56µm
net504,7.56µm
_291_,7.485µm
net537,7.46µm
s_axil_awready,7.4µm
s_axil_rdata[12],7.4µm
s_axil_rdata[21],7.4µm
s_axil_rdata[30],7.4µm
s_axil_rdata[3],7.4µm
_036_,7.27µm
_113_,7.26µm
_204_,7.26µm
_252_,7.26µm
_256_,7.26µm
net350,7.26µm
_027_,7.255µm
wstrb_q\[3\],7.21µm
wdata_q\[4\],7.2µm
_176_,7.155µm
wdata_q\[7\],7.15µm
net373,7.15µm
net540,7.15µm
_035_,7.08µm
_097_,7.03µm
_202_,7.02µm
_033_,7.015µm
_289_,7.005µm
s_axil_arready,6.98µm
s_axil_rdata[17],6.98µm
s_axil_rdata[26],6.98µm
s_axil_rdata[8],6.98µm
net364,6.98µm
s_axil_bresp[0],6.93µm
s_axil_rdata[10],6.93µm
s_axil_rdata[13],6.93µm
s_axil_rdata[14],6.93µm
s_axil_rdata[19],6.93µm
s_axil_rdata[1],6.93µm
s_axil_rdata[22],6.93µm
s_axil_rdata[23],6.93µm
s_axil_rdata[28],6.93µm
s_axil_rdata[31],6.93µm
s_axil_rdata[4],6.93µm
s_axil_rdata[5],6.93µm
s_axil_rresp[0],6.93µm
s_axil_wready,6.93µm
_096_,6.87µm
read_addr_q\[6\],6.84µm
read_addr_q\[4\],6.78µm
rst_ni,6.78µm
s_axil_awvalid,6.78µm
net391,6.78µm
_095_,6.67µm
_258_,6.67µm
net123,6.67µm
net128,6.67µm
net385,6.67µm
net458,6.67µm
_275_,6.655µm
s_axil_rdata[0],6.51µm
s_axil_rdata[18],6.51µm
s_axil_rdata[27],6.51µm
s_axil_rdata[9],6.51µm
net530,6.5µm
net531,6.5µm
net533,6.5µm
_025_,6.49µm
_298_,6.49µm
_322_,6.49µm
net90,6.46µm
net72,6.36µm
_099_,6.3µm
_192_,6.3µm
net119,6.3µm
net130,6.3µm
wdata_q\[23\],6.3µm
wdata_q\[29\],6.3µm
net356,6.25µm
net363,6.19µm
net152,6.115µm
net187,6.115µm
net436,6.115µm
_088_,6.07µm
net546,6.02µm
net555,6.02µm
_018_,5.83µm
_240_,5.82µm
read_addr_q\[1\],5.82µm
net492,5.77µm
_075_,5.71µm
_165_,5.71µm
net380,5.71µm
_034_,5.64µm
_040_,5.64µm
_039_,5.55µm
net524,5.54µm
net534,5.54µm
_308_,5.53µm
_324_,5.53µm
read_addr_q\[0\],5.53µm
net132,5.53µm
awaddr_q\[2\],5.4µm
wstrb_q\[0\],5.4µm
wdata_q\[21\],5.34µm
net497,5.34µm
net568,5.23µm
_058_,5.22µm
_090_,5.22µm
_051_,5.16µm
